case,Tfuel_K,reflector_thickness_cm,keff,unc,leak_frac,leak_frac_unc
hp6_rod_inserted_B4C_Na_T600_refl0p0,600.0,0.000,0.72728981,0.00010918,0.67372542,0.00005826
hp6_rod_inserted_B4C_Na_T600_refl3p0,600.0,3.000,0.89905721,0.00014972,0.58577149,0.00007809
hp6_rod_inserted_B4C_Na_T600_refl6p0,600.0,6.000,0.97158024,0.00016511,0.54539655,0.00008705
hp6_rod_inserted_B4C_Na_T600_refl9p0,600.0,9.000,1.00712858,0.00015554,0.52464297,0.00008560
hp6_rod_inserted_B4C_Na_T600_refl12p0,600.0,12.000,1.02500322,0.00016336,0.51401529,0.00009463
