E_low_eV,E_high_eV,E_mid_eV,flux_mean,flux_std
3.7926901907e-02,4.0180008572e-02,3.9037203329e-02,1.1056426745e-03,2.9994049204e-05
4.0180008572e-02,4.2566964546e-02,4.1356269178e-02,1.1472962065e-03,3.0658227759e-05
4.2566964546e-02,4.5095721357e-02,4.3813102745e-02,1.2546440916e-03,3.4848799723e-05
4.5095721357e-02,4.7774702903e-02,4.6415888336e-02,1.2023410615e-03,3.2268299304e-05
4.7774702903e-02,5.0612833520e-02,4.9173296458e-02,1.3180418345e-03,3.8392641927e-05
5.0612833520e-02,5.3619567706e-02,5.2094512703e-02,1.3408567247e-03,3.8173019254e-05
5.3619567706e-02,5.6804921617e-02,5.5189268347e-02,1.3503600305e-03,3.4361690395e-05
5.6804921617e-02,6.0179506438e-02,5.8467872769e-02,1.4165463366e-03,3.3902344826e-05
6.0179506438e-02,6.3754563725e-02,6.1941247793e-02,1.4255904901e-03,4.1328789383e-05
6.3754563725e-02,6.7542002856e-02,6.5620964068e-02,1.5047929183e-03,3.2897319551e-05
6.7542002856e-02,7.1554440707e-02,6.9519279618e-02,1.4754310311e-03,3.9922129859e-05
7.1554440707e-02,7.5805243676e-02,7.3649180673e-02,1.4873986050e-03,3.7350027779e-05
7.5805243676e-02,8.0308572214e-02,7.8024424932e-02,1.4886262447e-03,3.0336252112e-05
8.0308572214e-02,8.5079427996e-02,8.2659587388e-02,1.5766914785e-03,3.7487230285e-05
8.5079427996e-02,9.0133703895e-02,8.7570108888e-02,1.5180463785e-03,3.8062697183e-05
9.0133703895e-02,9.5488236924e-02,9.2772347563e-02,1.5579051808e-03,3.4037895670e-05
9.5488236924e-02,1.0116086432e-01,9.8283633328e-02,1.5439021270e-03,3.5263863355e-05
1.0116086432e-01,1.0717048299e-01,1.0412232560e-01,1.5116975692e-03,3.9437283424e-05
1.0717048299e-01,1.1353711241e-01,1.1030787449e-01,1.6197334797e-03,4.1788031797e-05
1.1353711241e-01,1.2028196136e-01,1.1686088553e-01,1.5140673052e-03,3.1158034736e-05
1.2028196136e-01,1.2742749857e-01,1.2380318841e-01,1.5068862087e-03,3.4813264618e-05
1.2742749857e-01,1.3499752754e-01,1.3115790959e-01,1.5321373934e-03,3.3589111633e-05
1.3499752754e-01,1.4301726587e-01,1.3894954944e-01,1.4660003035e-03,3.7620449221e-05
1.4301726587e-01,1.5151342925e-01,1.4720406378e-01,1.5012413836e-03,3.6107317724e-05
1.5151342925e-01,1.6051432044e-01,1.5594895041e-01,1.5038231557e-03,3.7726316579e-05
1.6051432044e-01,1.7004992358e-01,1.6521334064e-01,1.4446738971e-03,3.3610458363e-05
1.7004992358e-01,1.8015200408e-01,1.7502809639e-01,1.4276048347e-03,4.0552200991e-05
1.8015200408e-01,1.9085421440e-01,1.8542591300e-01,1.3795130400e-03,3.1203086741e-05
1.9085421440e-01,2.0219220619e-01,1.9644142809e-01,1.4871005102e-03,3.7631289727e-05
2.0219220619e-01,2.1420374904e-01,2.0811133701e-01,1.5437610490e-03,3.4552211298e-05
2.1420374904e-01,2.2692885629e-01,2.2047451504e-01,1.4780278638e-03,3.2143622332e-05
2.2692885629e-01,2.4040991835e-01,2.3357214691e-01,1.4588352238e-03,3.2834247439e-05
2.4040991835e-01,2.5469184390e-01,2.4744786400e-01,1.5540176310e-03,3.1854018015e-05
2.5469184390e-01,2.6982220947e-01,2.6214788966e-01,1.5128499772e-03,3.2271244388e-05
2.6982220947e-01,2.8585141797e-01,2.7772119324e-01,1.5046318133e-03,3.7289410713e-05
2.8585141797e-01,3.0283286656e-01,2.9421965317e-01,1.4989870158e-03,3.4815419616e-05
3.0283286656e-01,3.2082312454e-01,3.1169822980e-01,1.5541492795e-03,3.3993767350e-05
3.2082312454e-01,3.3988212182e-01,3.3021514850e-01,1.5440244481e-03,3.6194812689e-05
3.3988212182e-01,3.6007334850e-01,3.4983209358e-01,1.5200730376e-03,3.5340905811e-05
3.6007334850e-01,3.8146406644e-01,3.7061441383e-01,1.5824738968e-03,2.7233633854e-05
3.8146406644e-01,4.0412553330e-01,3.9263134017e-01,1.6031838134e-03,3.4934002501e-05
4.0412553330e-01,4.2813323987e-01,4.1595621631e-01,1.6632272320e-03,3.7738629059e-05
4.2813323987e-01,4.5356716164e-01,4.4066674303e-01,1.6660047758e-03,3.2346477532e-05
4.5356716164e-01,4.8051202514e-01,4.6684523707e-01,1.7337821919e-03,3.8144712651e-05
4.8051202514e-01,5.0905759020e-01,4.9457890531e-01,1.8331850841e-03,3.9376872481e-05
